[07.06.2021 10:28:57 | INFO]: Запуск скрипта
[07.06.2021 10:28:57 | INFO]: Проверка наличия файла конфигурации в папке {config.conf}
[07.06.2021 10:28:57 | INFO]: Файл найден. Загрузка конфигурации скрипта
[07.06.2021 10:28:57 | INFO]: Получаем файл импорта input.txt
[07.06.2021 10:28:57 | INFO]: Найдено ссылок в файле импорта - 1
[07.06.2021 10:28:57 | INFO]: Поиск файла с прокси -> proxy.txt
[07.06.2021 10:28:57 | INFO]: Количество прокси найдено в файле 2
[07.06.2021 10:28:57 | INFO]: Поиск файла с UserAgent -> agents.txt
[07.06.2021 10:28:57 | INFO]: Количество записей найдено в файле 1
[07.06.2021 10:28:57 | INFO]: Создание 5 потоков
[07.06.2021 10:29:32 | INFO]: Ссылок пагинации - 17
[07.06.2021 10:30:52 | INFO]: Осталось 10 ссылок
[07.06.2021 10:31:59 | INFO]: Найдено ссылок на товар - 379
[07.06.2021 10:34:02 | INFO]: Осталось 370 ссылок
[07.06.2021 10:35:52 | INFO]: Осталось 360 ссылок
[07.06.2021 10:37:50 | INFO]: Осталось 350 ссылок
[07.06.2021 10:39:23 | INFO]: Осталось 340 ссылок
[07.06.2021 10:40:25 | INFO]: Осталось 330 ссылок
[07.06.2021 10:41:32 | INFO]: Осталось 320 ссылок
[07.06.2021 10:42:48 | INFO]: Осталось 310 ссылок
[07.06.2021 10:44:06 | INFO]: Осталось 300 ссылок
[07.06.2021 10:45:41 | INFO]: Осталось 290 ссылок
[07.06.2021 10:48:00 | INFO]: Осталось 280 ссылок
[07.06.2021 10:49:41 | INFO]: Осталось 270 ссылок
[07.06.2021 10:50:57 | INFO]: Осталось 260 ссылок
[07.06.2021 10:52:34 | INFO]: Осталось 250 ссылок
[07.06.2021 10:53:33 | INFO]: Осталось 240 ссылок
[07.06.2021 10:54:17 | INFO]: Осталось 230 ссылок
[07.06.2021 10:55:31 | INFO]: Осталось 220 ссылок
[07.06.2021 10:56:53 | INFO]: Осталось 210 ссылок
[07.06.2021 10:58:53 | INFO]: Осталось 200 ссылок
[07.06.2021 11:00:25 | INFO]: Осталось 190 ссылок
[07.06.2021 11:01:54 | INFO]: Осталось 180 ссылок
[07.06.2021 11:03:54 | INFO]: Осталось 170 ссылок
[07.06.2021 11:05:19 | INFO]: Осталось 160 ссылок
[07.06.2021 11:07:32 | INFO]: Осталось 150 ссылок
[07.06.2021 11:09:23 | INFO]: Осталось 140 ссылок
